Tweet,Label
"kyknya gue mati rasa.. gak deng, bukan mati rasa cuman belum move on aja makanya dibikin baper ga baper baper, awalnya ditinggikan trs skrang dijatuhkanpun ga ngerasa sedih juga",Neutral
ada dunia yang lebih indah walau kecil didalam semesta yang luar biasa ini,Neutral
selamat pagi untuk jiwa jiwaa yang sepi,Neutral
"ih temen kosku abis ikut ke venue gt kan acara prodinyaa, eh balik ke kos dia meriang nular ke satu kosan. skrg ak jg pilek meriang buhu jd takut",Fear
ngeri ngeri sedep,Fear
"cintai bahagia karena dia membuatmu ceria, tapi cintai juga sedih karena dia membuatmu dewasa",Sad
haii po di mirfa yuk dp 100k bookslot 50k aja dicicil santai dom tangerang bisa shopee all payment,Neutral
plis yah gua tuh benci bgt kalo udh rapi tapi tiba tiba kebelet berak,Fear
"ape la mama ni. sory sayang. mama tak jaga dhyan dengan betul. mama leka. sory sayang. cepat sembuh lah dhyan. walaupun awak demam pn macam tak demam. tapi bila malam nampak awak mcm tu, sedih mama.",Sad
mau ketawa tapi takut,Fear
"kertas hiyo cakep banget, baru liat sekarang, itu udah dari tanggal 23 jan, sedih. ini hiyo beneran cantikk",Sad
"semangat ya, fase fase seperti itu memang luar biasa",Joy
"ada kak biasa bikin cerpen, no copas copas, berpengalaman sebagai penulis juga dan bisa cek testinya yup",Neutral
fav banget jelas payphone sisanya semua lagu mereka gua suka,Love
"halo admin, mau tanya syarat untuk terbang dari juanda ke kualanamu kalau sudah vaksin dosis 2 pakai antigen saja/harus pcr ya?? dan tesnya bisa diambil di luar atau disediakan di bandara ya? karna saya naik penerbangan pertama besok. terima kasih!",Neutral
"krn mmg momen nya belum terjadi, jadi tunggu saja sampai gelaran formula e benar2 gagal, maka kpk punya alasan kuat utk menyelidiki. kalau sekarang kpk masuk, nanti malah akan dituduh ikut menggagalkan gelaran f-e oleh kroni balaikota.",Neutral
kasi puas hati member,Joy
mending lo baca dm gue biar gue pagi2 tidak emosi,Anger
"abis liat cinta laura diwawancarai, selama beliau ngomong saya ngangguk-ngangguk aja soalnya merasa relate. cuman motivasinya aja yang kalah gede saya suka males hh ""saya merasa kebahagiaan saya datang bukan karena saya sendiri, tapi ketika saya membantu atau memberi dampak",Neutral
",, +,makasih buat sejauh ini, makasih udah baik bangett, udah selalu kasi support ke aku juga, udh peduli bgt sehat & bahagia selalu kalian",Joy
"ahay bocah tengil tolol, cuma pintar foya2 ngabisin hasil warisan. mumpung masih banyak warisan, terusin aja halunya.",Anger
"anjr kesal bgt sm yg suka curi"", semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge, tree, fragment",Anger
"keluarga besar aku, jgn risau sbb korg termakan hasutan puki lahanat adik-beradik aku.kecuali bapak si murni. kau hina si syahirah ni gile,makan gelojoh,hitam,buruk. anak kau pon gile lah bodoh lagi teruk dari syahirah.anak aku lyn baik je anak kau siall!!- ayah suratman",Anger
yok semangat yok kaa xixi,Joy
gajadi soft malah emosi.,Anger
anaknya jadiin model aja bund biar bisa balas dendam,Anger
"sedih njay. makin susah nakes nakes puskesmas, vaksin booster sampe turun ke rumah rumah bawa tni-polri, tracing kasus baru dibilang dicovidkan.. jawaban mereka sama ""covid itu ga ada!"" kehilangan sosok contoh rakyat ini.",Sad
tapi gue takut awkard,Fear
"ada yg salah besar di klub kalo tiap musim tidak mampu jadi penantang gelar di tiap kompetisi. kecewa stlh kecewa krn klub ini skrg klub pnh drama, bkn soal prestasi lagi. musim ini, semua kejadian ga enak terjadi di kandang. jadi bhn olok2 bhkn utk pihak yg ga bhs bola",Sad
"di tanyain ""lagi apa"" merasa bosan? dan kurang berfaedah? ya karna yang nanya orang yang tidak disuka. coba orang yang di suka yang nanya, pasti exsited banget, sampe roll depan roll belakang, kayang, dll padahal cuman di tanya ""lagi apa"" lucu ya.",Love
"manusia suka banget sm angka, salah ga menurutmu?",Neutral
"aaakk sama banget kaya temen sma aku, dia teriak2 di sekolah minta cutter buat bundir astagah. legend banget si. dan masalahnya ya dia putus sama cowonya trs cowonya suka sama cewe lain, ngeri bangettt",Fear
bukan emyu namanya kalo ga tolol ya goblok,Anger
"krystal suka banget ama masakan tradisional nya mexico, yaitu burrito",Love
"baru kenal, baru mau nyapa udah dilirikint tajem bgt ampe mau copot matanya. santai kali mba",Neutral
"petai cina ampuh turunkan gula darah. nah, kali ini mintani mau bertanya, siapa yang suka makan petai cina? yuk ngacung. mintani suka banget dengan yang satu ini. apa saja sih manfaatnya dari petai cina ini? yuk kita sama simak infografis berikut..",Neutral
bila menyampah / jealous tapi tak benci camni lah,Neutral
gue tipe yang suka ngasih kasih sayang tapi geli kalo di sayang balik.. pengertian nya,Love
"suka gak abis pikir klo orang punya pikiran selingkuh/main belakang kek heh anjg pacar lu mati""an jaga lu, ngurus hidup lu yg gak seberapa bagus, ngerawat lu, tpi masih mikir buat selingkuh?? sumpah sampah banget",Anger
"kak, semoga semuanya baik-baik aja yaa, jangan lupa makan yang enak dan dengerin musik yang bikin tenang supaya keadaannya sedikit membaik.. semangat ;33",Joy
sorry bang gue paling benci kalo ada yang bilang dia lebih cape dari gue,Anger
"ah alibi siamah, bebeja weh teu bisa nahan sange, embung coli jadi weh predator. emosi pagi pagi.",Anger
"alhamdulillah..12 set lagi pagi ini dgn nafas ngos..ngossan..sebab kata adinda melawan si umi hrs dgn olah raga, istirahat cukup dan makan enak, ya kan,",Neutral
"ra, terima kasih banyak! aku senang dengarnya ¹. wah, sama-sama suka jennie. keren banget soalnya dia.",Joy
"balas dendam, biar yakin kl suami istri bs saling nutup aib",Anger
"kalau kebalik gmn?jangan jangan semua dari nusantara skrg jg udah biasa kita kirim barang baku, balik balik barang jadi yg kita anggap ""asli luar"" catatan sejarah adalah potret waktu peristiwa, bukan sejarah itu sendiri",Neutral
"setuju banget, lama-lama juga agak gimana gitu liat yang suka bilang begitu.",Neutral
benci bangett,Anger
"mau bikin thread reason why i am fall in love with 13 guys of seventeen. soalnya ini udah menjurus ke sayang sama mereka, udah bukan suka sebagai idola lagi. 1. mereka talented banget! mereka ini self producing, lagu+lirik : vocal grup terutama uji sbg produser",Love
aw malu,Fear
bulan engga enak ati ga si ini,Fear
"dendam menyebabkan imunitas tubuh kita mati. disitulah bermula awal segala penyakit, stress, kolesterol tinggi, darah tinggi, jantung dll.",Neutral
sedih belum dapatin wl prio tapi udah mau rest aja :(,Sad
pagi ini sedih sekali,Sad
"sebenarnya ikn itu hanya trik saja, agr kasus korup dan kasus lainnya tertutupi. emgnya mungkin pembangunan ikn selesai dlm 2 thn ? dari situ saja sdh terbaca bohongnya.",Neutral
"kalau gak punya siapa2 sih bodoamat ya, adanya tl sepi sih join agency wkwk",Neutral
"suka, banget.",Love
semangat pagi.. semoga hari ini dilimpahkan banyak rejeki.. aamiin,Joy
"baru sadar trnyata senyesek ini suka sama org yg udh punya pacar, gw nyalahin diri sendiri krn dulu terlalu takut pdhl dia dah kasih kode, sering chat random, sering nempel ma gw mulu, tp gw terlalu takut mulai hal baru n td liat dia repost story pacarnya like hrsnya itu gw",Sad
"denisee huhu pagi pagi sedih, liat polaroidnya jd kangen jaman who dis sama got that boom",Sad
atau kalau mau kasih bunga mending yg ada pot nya sekalian. kali aja kalau cwe nya suka koleksi bunga hidup.,Neutral
gua klo udh pd ngomongin skripsyid takut bgt dh sumpah,Fear
